,filename,is_nodule,is_generated,x,y,w,h,area
0,1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_117.png,1,0,402.5,151.5,7.0,7.0,49.0
1,1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860_78.png,1,0,40.5,207.5,9.0,9.0,81.0
2,1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208_89.png,1,0,380.0,265.0,10.0,10.0,100.0
3,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_142.png,1,0,362.0,321.0,30.0,30.0,900.0
4,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_230.png,1,0,362.5,234.5,33.0,33.0,1089.0
5,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_252.png,1,0,203.0,276.0,34.0,34.0,1156.0
6,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_266.png,1,0,165.5,320.5,15.0,15.0,225.0
7,1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275_76.png,1,0,346.5,281.5,15.0,15.0,225.0
8,1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249_121.png,1,0,341.5,266.5,25.0,25.0,625.0
9,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217_104.png,1,0,111.5,252.5,13.0,13.0,169.0
10,1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228_89.png,1,0,118.0,275.0,12.0,12.0,144.0
11,1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774_63.png,1,0,245.0,304.0,12.0,12.0,144.0
12,1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949_133.png,1,0,163.0,215.0,6.0,6.0,36.0
13,1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949_89.png,1,0,161.5,336.5,9.0,9.0,81.0
14,1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872_69.png,1,0,133.5,266.5,11.0,11.0,121.0
15,1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375_186.png,1,0,132.5,281.5,19.0,19.0,361.0
16,1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943_61.png,1,0,109.5,144.5,25.0,25.0,625.0
17,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_110.png,1,0,444.5,265.5,9.0,9.0,81.0
18,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_114.png,1,0,125.5,419.5,15.0,15.0,225.0
19,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_117.png,1,0,62.5,310.5,13.0,13.0,169.0
20,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_126.png,1,0,377.5,418.5,11.0,11.0,121.0
21,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_81.png,1,0,409.0,259.0,10.0,10.0,100.0
22,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306_96.png,1,0,166.5,446.5,7.0,7.0,49.0
23,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492_33.png,1,0,105.5,342.5,9.0,9.0,81.0
24,1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428_162.png,1,0,308.5,332.5,9.0,9.0,81.0
25,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059_57.png,1,0,404.0,333.0,8.0,8.0,64.0
26,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059_68.png,1,0,413.5,273.5,25.0,25.0,625.0
